date,time,zenith,AtomosMass
06/08/2018,11:38:06,77.4972074183817,4.52491860381114
06/08/2018,11:29:05,75.8098375810163,4.0139544579033
06/08/2018,11:24:58,75.0364055634777,3.81692318187732
06/08/2018,11:21:25,74.3680615026577,3.66191957302104
06/08/2018,11:19:29,74.0035769553414,3.58270858942437
06/08/2018,11:17:28,73.6230216270224,3.50368322705333
06/08/2018,11:11:47,72.5486927599697,3.29884535477811
06/08/2018,11:03:22,70.9531889814315,3.03672892070806
06/08/2018,11:01:28,70.5923601543031,2.98337636956162
06/08/2018,10:55:05,69.378566938888,2.81756404063022
06/08/2018,10:47:23,67.9117093632444,2.64153184251511
06/08/2018,10:45:25,67.5366622418092,2.60023653455318
06/08/2018,10:35:57,65.7296273803077,2.41935803912842
06/08/2018,10:29:25,64.4813330589785,2.30960878822298
06/08/2018,10:23:05,63.2707955654861,2.21319227911128
06/08/2018,10:07:35,60.3088061397324,2.01141848086724
06/08/2018,10:05:26,59.8982695422973,1.98670677945275
06/08/2018,09:49:25,56.8452004245861,1.82306499302148
06/08/2018,09:35:55,54.2829928119393,1.70859690714794
06/08/2018,09:25:25,52.3006182329223,1.63152587231621
06/08/2018,09:18:36,51.0199091122448,1.5862879078304
06/08/2018,09:10:26,49.4933416925364,1.53649795653057
06/08/2018,09:03:36,48.2235329199936,1.49818221460511
06/08/2018,08:56:45,46.958507504456,1.46255475896997
